Class,ID,Severity,Ruleset(s),Message,Description,Guidance,Context (Xpath),Test (Xpath)
iati,0.0.1,Information,iati,Congratulations! This IATI activity file has successfully passed validation with no errors!,,,/*,"not(//me:feedback[@type=('danger', 'critical')])"
iati,0.1.1,Critical,iati,"The file is not a proper XML file. The raw feedback from xmllint: {unparsed-text(""/workspace/tmp/xmltestlog/"" || $filename)} (not possible to present, maybe a binary file)",,,/not-an-xml-file,
iati,0.2.1,Critical,iati,The file is not an IATI file.,,,/not-an-iati-file,
iati,0.3.1,Critical,iati,"This file fails schema validation. Please see below for technical details. If you are the owner of this files, please show this output to your publishing tool provider or technical team. {unparsed-text(""/workspace/tmp/xmlschemalog/"" || $filename)} (not possible to present, maybe a binary file)",,,iati-file-with-schema-errors,
iati,0.4.1,Critical,iati,"This file is not valid XML and fails schema validation. Please see below for technical details. If you are the owner of this files, please show this output to your publishing tool provider or technical team. The raw feedback from XML validation: {unparsed-text(""/workspace/tmp/xmltestlog/"" || $filename)} (not possible to present, maybe a binary file) The raw feedback from schema validation of a recovered version of the file: {unparsed-text(""/workspace/tmp/xmlschemalog/"" || $filename)} (not possible to present, maybe a binary file)",,,recovered-iati-file-with-schema-errors,
iati,0.5.1,Critical,iati,"The file is not valid XML. Please see below for technical details. If you are the owner of this files, please show this output to your publishing tool provider or technical team. {unparsed-text(""/workspace/tmp/xmltestlog/"" || $filename)} (not possible to present, maybe a binary file) A recovered version does pass schema validation as valid IATI, but may not contain all information.",,,recovered-iati-file,
documents,0.6.1,Error,iati:1.0x,Version {me:iati-version(@version)} of the IATI Standard is no longer supported. Please use other versions.,,https://iatistandard.org/en/news/notice-iati-standard-version-1-is-deprecated/,"/*[starts-with(@version, '1.')]",
identifiers,1.1.1,Warning,iati,The activity identifier should begin with the organisation identifier of the reporting organisation (or a previous version included in the other-identifier element).,,,iati-identifier,"not(some $id in (../reporting-org/@ref, ../other-identifier[@type='B1']/@ref) satisfies starts-with(., $id))"
identifiers,1.1.2,Error,iati,The activity identifier must not occur multiple times in the dataset.,,{me:iati-url('activity-standard/iati-activities/iati-activity/iati-identifier/')},iati-identifier,../../iati-activity[iati-identifier=current()][2]
identifiers,1.1.21,Warning,iati:2.03,The activity identifier's prefix and suffix should be separated by a hyphen e.g. XM-DAC-2222,,{me:iati-url('activity-standard/iati-activities/iati-activity/iati-identifier/')},iati-identifier,"$iati-version = '2.03' and not(some $id in (../reporting-org/@ref, ../other-identifier[@type='B1']/@ref) satisfies matches(., functx:escape-for-regex($id) || '-.+'))"
identifiers,1.1.3,Error,iati,The activity identifier must not be the same as the organisation identifier of the reporting organisation.,,{me:iati-url('activity-standard/iati-activities/iati-activity/iati-identifier/')},iati-identifier,. = ../reporting-org/@ref
financial,1.10.1,Warning,,The identifier should not start or end with spaces or newlines.,,,provider-org/@ref,$item != functx:trim($item)
