"ID","Class","Severity","Ruleset(s)","Message","Guidance","Context (Xpath)","Test (Xpath)"
0.6.1,documents,Error,iati:1.0x,Version {me:iati-version(@version)} of the IATI Standard is no longer supported. Please use other versions.,https://iatistandard.org/en/news/notice-iati-standard-version-1-is-deprecated/,"/*[starts-with(@version, '1.')]",
1.1.1,identifiers,Warning,iati,The activity identifier should begin with the organisation identifier of the reporting organisation (or a previous version included in the other-identifier element).,,iati-identifier,"not(some $id in (../reporting-org/@ref, ../other-identifier[@type='B1']/@ref) satisfies starts-with(., $id))"
1.1.2,identifiers,Error,iati,The activity identifier must not occur multiple times in the dataset.,{me:iati-url('activity-standard/iati-activities/iati-activity/iati-identifier/')},iati-identifier,../../iati-activity[iati-identifier=current()][2]
1.1.21,identifiers,Warning,iati:2.03,The activity identifier's prefix and suffix should be separated by a hyphen e.g. XM-DAC-2222,{me:iati-url('activity-standard/iati-activities/iati-activity/iati-identifier/')},iati-identifier,"$iati-version = '2.03' and not(some $id in (../reporting-org/@ref, ../other-identifier[@type='B1']/@ref) satisfies matches(., functx:escape-for-regex($id) || '-.+'))"
1.1.3,identifiers,Error,iati,The activity identifier must not be the same as the organisation identifier of the reporting organisation.,{me:iati-url('activity-standard/iati-activities/iati-activity/iati-identifier/')},iati-identifier,. = ../reporting-org/@ref
1.10.1,financial,Warning,,The {$identifier} should not start or end with spaces or newlines.,,provider-org/@ref,$item != functx:trim($item)
1.10.13,financial,Warning,,"The {$identifier} must not contain any of the symbols /, &, | or ?.",,provider-org/@ref,"matches($item, '[/&|?]')"
1.10.8,financial,Warning,,The {$identifier} does not start with a known prefix.,,provider-org/@ref,"not(some $prefix in $org-id-prefixes satisfies starts-with($item, $prefix||'-'))"
1.11.1,identifiers,Warning,,The {$identifier} should not start or end with spaces or newlines.,,owner-org/@ref,$item != functx:trim($item)
1.11.13,identifiers,Warning,,"The {$identifier} must not contain any of the symbols /, &, | or ?.",,owner-org/@ref,"matches($item, '[/&|?]')"
1.11.8,identifiers,Warning,,The {$identifier} does not start with a known prefix.,,owner-org/@ref,"not(some $prefix in $org-id-prefixes satisfies starts-with($item, $prefix||'-'))"
1.12.1,organisation,Warning,2.0x,The {$identifier} should not start or end with spaces or newlines.,,organisation-identifier,$item != functx:trim($item)
1.12.13,organisation,Warning,2.0x,"The {$identifier} must not contain any of the symbols /, &, | or ?.",,organisation-identifier,"matches($item, '[/&|?]')"
1.12.8,organisation,Warning,2.0x,The {$identifier} does not start with a known prefix.,,organisation-identifier,"not(some $prefix in $org-id-prefixes satisfies starts-with($item, $prefix||'-'))"
1.14.1,identifiers,Warning,,The {$identifier} should not start or end with spaces or newlines.,,iati-activity/reporting-org/@ref,$item != functx:trim($item)
1.14.13,identifiers,Warning,,"The {$identifier} must not contain any of the symbols /, &, | or ?.",,iati-activity/reporting-org/@ref,"matches($item, '[/&|?]')"
1.14.8,identifiers,Warning,,The {$identifier} does not start with a known prefix.,,iati-activity/reporting-org/@ref,"not(some $prefix in $org-id-prefixes satisfies starts-with($item, $prefix||'-'))"
1.15.1,financial,Warning,,The {$identifier} should not start or end with spaces or newlines.,,receiver-org/@ref,$item != functx:trim($item)
1.15.13,financial,Warning,,"The {$identifier} must not contain any of the symbols /, &, | or ?.",,receiver-org/@ref,"matches($item, '[/&|?]')"
1.15.8,financial,Warning,,The {$identifier} does not start with a known prefix.,,receiver-org/@ref,"not(some $prefix in $org-id-prefixes satisfies starts-with($item, $prefix||'-'))"
1.16.1,identifiers,Warning,,The {$identifier} should not start or end with spaces or newlines.,,other-identifier[upper-case(@type)=('B1')]/@ref,$item != functx:trim($item)
1.16.13,identifiers,Warning,,"The {$identifier} must not contain any of the symbols /, &, | or ?.",,other-identifier[upper-case(@type)=('B1')]/@ref,"matches($item, '[/&|?]')"
1.16.8,identifiers,Warning,,The {$identifier} does not start with a known prefix.,,other-identifier[upper-case(@type)=('B1')]/@ref,"not(some $prefix in $org-id-prefixes satisfies starts-with($item, $prefix||'-'))"
1.17.1,organisation,Warning,,The {$identifier} should not start or end with spaces or newlines.,,recipient-org/@ref,$item != functx:trim($item)
1.17.13,organisation,Warning,,"The {$identifier} must not contain any of the symbols /, &, | or ?.",,recipient-org/@ref,"matches($item, '[/&|?]')"
